iter	Passed	Remaining
0	189	56740
1	211	31560
2	227	22530
3	242	17909
4	256	15145
5	271	13297
6	285	11944
7	299	10945
8	314	10157
9	328	9517
10	343	9014
11	358	8597
12	372	8222
13	388	7945
14	403	7660
15	418	7422
16	432	7206
17	447	7010
18	461	6831
19	476	6674
20	491	6529
21	506	6396
22	521	6280
23	536	6175
24	552	6073
25	567	5977
26	581	5877
27	595	5783
28	610	5702
29	624	5623
30	639	5549
31	654	5480
32	669	5416
33	683	5344
34	697	5283
35	711	5220
36	726	5165
37	740	5103
38	755	5052
39	769	5002
40	782	4946
41	797	4897
42	811	4848
43	825	4802
44	839	4756
45	853	4714
46	868	4674
47	882	4631
48	896	4590
49	911	4556
50	925	4521
51	939	4478
52	952	4439
53	967	4405
54	981	4372
55	995	4336
56	1008	4297
57	1022	4265
58	1036	4234
59	1051	4205
60	1065	4175
61	1079	4143
62	1093	4114
63	1108	4088
64	1122	4059
65	1136	4028
66	1148	3995
67	1163	3967
68	1177	3943
69	1191	3916
70	1206	3891
71	1220	3863
72	1233	3834
73	1245	3804
74	1258	3776
75	1273	3752
76	1288	3731
77	1302	3707
78	1315	3681
79	1329	3656
80	1343	3632
81	1356	3605
82	1371	3585
83	1385	3561
84	1399	3540
85	1412	3514
86	1426	3492
87	1439	3468
88	1452	3443
89	1466	3421
90	1480	3400
91	1494	3379
92	1509	3359
93	1522	3337
94	1537	3318
95	1551	3296
96	1563	3271
97	1576	3248
98	1588	3226
99	1602	3205
100	1616	3184
101	1630	3164
102	1644	3144
103	1657	3124
104	1671	3104
105	1685	3084
106	1698	3063
107	1711	3043
108	1724	3021
109	1737	3001
110	1750	2980
111	1764	2961
112	1778	2942
113	1790	2921
114	1804	2902
115	1817	2883
116	1830	2862
117	1843	2843
118	1856	2824
119	1870	2805
120	1884	2787
121	1896	2767
122	1909	2747
123	1922	2728
124	1936	2711
125	1949	2692
126	1963	2674
127	1976	2656
128	1990	2638
129	2004	2621
130	2017	2603
131	2031	2585
132	2044	2567
133	2056	2548
134	2070	2530
135	2084	2513
136	2100	2498
137	2115	2483
138	2133	2471
139	2149	2456
140	2165	2441
141	2179	2425
142	2194	2409
143	2210	2394
144	2225	2378
145	2239	2362
146	2253	2345
147	2267	2328
148	2281	2311
149	2295	2295
150	2308	2278
151	2322	2261
152	2336	2244
153	2350	2228
154	2363	2210
155	2376	2194
156	2391	2177
157	2405	2161
158	2418	2144
159	2431	2127
160	2444	2110
161	2458	2094
162	2473	2078
163	2486	2062
164	2500	2045
165	2514	2030
166	2529	2014
167	2542	1997
168	2556	1981
169	2570	1965
170	2583	1949
171	2597	1932
172	2610	1916
173	2624	1900
174	2637	1884
175	2651	1868
176	2665	1852
177	2681	1837
178	2695	1822
179	2709	1806
180	2722	1789
181	2734	1772
182	2748	1757
183	2761	1740
184	2775	1725
185	2788	1709
186	2801	1692
187	2815	1677
188	2827	1660
189	2841	1645
190	2854	1628
191	2868	1613
192	2883	1598
193	2897	1583
194	2911	1567
195	2925	1552
196	2939	1536
197	2952	1520
198	2964	1504
199	2978	1489
200	2991	1473
201	3005	1458
202	3019	1442
203	3033	1427
204	3047	1412
205	3060	1396
206	3074	1381
207	3087	1365
208	3101	1350
209	3113	1334
210	3126	1318
211	3140	1303
212	3152	1287
213	3166	1272
214	3180	1257
215	3194	1242
216	3207	1226
217	3220	1211
218	3234	1196
219	3247	1181
220	3261	1165
221	3274	1150
222	3287	1135
223	3301	1119
224	3314	1104
225	3328	1089
226	3341	1074
227	3355	1059
228	3368	1044
229	3382	1029
230	3396	1014
231	3410	999
232	3424	984
233	3439	970
234	3453	955
235	3466	940
236	3482	925
237	3496	910
238	3510	895
239	3524	881
240	3537	865
241	3551	851
242	3564	836
243	3576	820
244	3590	805
245	3606	791
246	3621	777
247	3634	762
248	3650	747
249	3665	733
250	3680	718
251	3693	703
252	3706	688
253	3720	673
254	3733	658
255	3747	644
256	3760	629
257	3774	614
258	3788	599
259	3802	584
260	3815	570
261	3829	555
262	3842	540
263	3856	525
264	3869	511
265	3882	496
266	3897	481
267	3911	467
268	3925	452
269	3938	437
270	3951	422
271	3965	408
272	3979	393
273	3992	378
274	4005	364
275	4019	349
276	4032	334
277	4046	320
278	4059	305
279	4073	290
280	4087	276
281	4100	261
282	4114	247
283	4127	232
284	4142	218
285	4155	203
286	4170	188
287	4184	174
288	4199	159
289	4213	145
290	4227	130
291	4241	116
292	4255	101
293	4268	87
294	4281	72
295	4294	58
296	4307	43
297	4321	29
298	4335	14
299	4349	0
