iter	Passed	Remaining
0	197	59028
1	220	32859
2	236	23436
3	250	18511
4	262	15506
5	276	13535
6	289	12135
7	303	11090
8	317	10276
9	331	9622
10	345	9079
11	359	8629
12	373	8240
13	386	7902
14	400	7607
15	414	7356
16	427	7116
17	440	6908
18	454	6716
19	469	6570
20	482	6414
21	496	6269
22	509	6132
23	523	6015
24	536	5904
25	549	5792
26	563	5693
27	576	5601
28	589	5513
29	604	5436
30	617	5361
31	631	5290
32	644	5217
33	658	5153
34	671	5087
35	685	5023
36	698	4966
37	712	4910
38	725	4857
39	738	4803
40	752	4751
41	765	4702
42	778	4655
43	791	4604
44	804	4561
45	818	4519
46	830	4472
47	844	4431
48	857	4390
49	869	4346
50	882	4309
51	895	4269
52	908	4232
53	921	4197
54	933	4157
55	946	4124
56	959	4092
57	972	4055
58	984	4021
59	996	3987
60	1009	3953
61	1021	3921
62	1034	3893
63	1048	3865
64	1060	3835
65	1073	3807
66	1086	3777
67	1098	3747
68	1110	3716
69	1122	3689
70	1136	3664
71	1148	3637
72	1160	3609
73	1174	3586
74	1187	3561
75	1199	3536
76	1212	3510
77	1225	3486
78	1237	3461
79	1253	3446
80	1265	3422
81	1278	3400
82	1291	3377
83	1304	3354
84	1317	3332
85	1330	3310
86	1343	3288
87	1356	3267
88	1368	3243
89	1381	3222
90	1393	3201
91	1405	3177
92	1417	3154
93	1430	3134
94	1442	3112
95	1455	3093
96	1470	3077
97	1485	3061
98	1498	3042
99	1511	3023
100	1524	3004
101	1538	2985
102	1550	2965
103	1562	2945
104	1575	2926
105	1587	2906
106	1599	2885
107	1611	2865
108	1625	2847
109	1637	2829
110	1653	2815
111	1666	2796
112	1678	2778
113	1692	2761
114	1706	2744
115	1720	2728
116	1732	2709
117	1745	2691
118	1758	2674
119	1771	2657
120	1784	2640
121	1797	2622
122	1810	2605
123	1823	2587
124	1836	2570
125	1849	2553
126	1862	2537
127	1877	2523
128	1892	2508
129	1905	2492
130	1918	2474
131	1931	2458
132	1943	2440
133	1955	2423
134	1967	2405
135	1980	2388
136	1993	2372
137	2006	2355
138	2020	2340
139	2033	2324
140	2046	2308
141	2060	2292
142	2072	2274
143	2084	2258
144	2097	2241
145	2109	2225
146	2122	2209
147	2135	2193
148	2148	2177
149	2161	2161
150	2173	2144
151	2185	2128
152	2197	2111
153	2210	2095
154	2222	2079
155	2235	2063
156	2248	2047
157	2261	2032
158	2274	2016
159	2286	2000
160	2299	1984
161	2311	1969
162	2324	1953
163	2338	1938
164	2351	1923
165	2364	1908
166	2376	1892
167	2389	1877
168	2402	1862
169	2414	1846
170	2427	1831
171	2440	1815
172	2452	1800
173	2465	1785
174	2477	1769
175	2491	1755
176	2504	1740
177	2516	1724
178	2530	1710
179	2542	1695
180	2555	1680
181	2567	1664
182	2580	1649
183	2592	1634
184	2604	1618
185	2616	1603
186	2629	1588
187	2642	1574
188	2654	1559
189	2667	1544
190	2680	1529
191	2695	1516
192	2708	1501
193	2721	1486
194	2734	1472
195	2746	1457
196	2759	1442
197	2772	1428
198	2785	1413
199	2798	1399
200	2811	1384
201	2824	1370
202	2837	1356
203	2851	1341
204	2864	1327
205	2877	1312
206	2890	1298
207	2903	1284
208	2916	1270
209	2929	1255
210	2941	1240
211	2954	1226
212	2967	1211
213	2980	1197
214	2993	1183
215	3006	1169
216	3019	1154
217	3031	1140
218	3045	1126
219	3057	1111
220	3071	1097
221	3084	1083
222	3099	1070
223	3111	1055
224	3124	1041
225	3136	1027
226	3149	1012
227	3162	998
228	3175	984
229	3187	969
230	3199	955
231	3211	941
232	3224	927
233	3236	912
234	3252	899
235	3266	885
236	3278	871
237	3290	857
238	3303	843
239	3316	829
240	3328	814
241	3341	800
242	3353	786
243	3367	772
244	3379	758
245	3392	744
246	3404	730
247	3417	716
248	3429	702
249	3441	688
250	3454	674
251	3468	660
252	3481	646
253	3493	632
254	3506	618
255	3518	604
256	3531	590
257	3544	577
258	3558	563
259	3570	549
260	3583	535
261	3596	521
262	3608	507
263	3621	493
264	3634	480
265	3647	466
266	3660	452
267	3672	438
268	3689	425
269	3701	411
270	3714	397
271	3726	383
272	3740	369
273	3752	356
274	3765	342
275	3778	328
276	3791	314
277	3803	301
278	3816	287
279	3828	273
280	3840	259
281	3853	245
282	3865	232
283	3877	218
284	3890	204
285	3902	191
286	3915	177
287	3928	163
288	3941	150
289	3953	136
290	3964	122
291	3978	108
292	3991	95
293	4004	81
294	4016	68
295	4028	54
296	4040	40
297	4052	27
298	4065	13
299	4078	0
