iter	Passed	Remaining
0	186	55671
1	206	30784
2	222	22025
3	236	17477
4	249	14724
5	263	12904
6	276	11592
7	290	10615
8	304	9859
9	319	9257
10	333	8758
11	347	8347
12	362	7996
13	375	7672
14	390	7410
15	404	7174
16	417	6956
17	431	6762
18	445	6583
19	458	6423
20	472	6281
21	486	6149
22	500	6022
23	514	5915
24	529	5826
25	543	5731
26	557	5636
27	571	5547
28	584	5464
29	599	5393
30	613	5324
31	628	5262
32	641	5192
33	655	5131
34	669	5070
35	683	5010
36	697	4957
37	711	4903
38	724	4851
39	738	4797
40	754	4768
41	770	4734
42	786	4702
43	802	4668
44	816	4629
45	831	4589
46	844	4543
47	857	4504
48	870	4460
49	883	4419
50	897	4383
51	910	4342
52	924	4307
53	937	4271
54	949	4231
55	963	4199
56	977	4169
57	993	4144
58	1007	4115
59	1020	4081
60	1033	4048
61	1046	4016
62	1062	3998
63	1077	3972
64	1090	3942
65	1103	3913
66	1116	3883
67	1129	3854
68	1142	3825
69	1155	3797
70	1169	3771
71	1182	3745
72	1195	3717
73	1209	3692
74	1223	3669
75	1236	3645
76	1249	3618
77	1263	3594
78	1275	3569
79	1290	3547
80	1302	3522
81	1315	3497
82	1328	3473
83	1342	3452
84	1355	3429
85	1369	3408
86	1382	3385
87	1396	3364
88	1408	3339
89	1422	3318
90	1435	3296
91	1447	3272
92	1459	3249
93	1472	3226
94	1484	3203
95	1497	3181
96	1511	3162
97	1524	3143
98	1537	3122
99	1551	3102
100	1564	3081
101	1577	3061
102	1590	3042
103	1603	3022
104	1616	3002
105	1629	2981
106	1641	2960
107	1653	2940
108	1667	2922
109	1680	2902
110	1692	2882
111	1704	2861
112	1717	2842
113	1735	2831
114	1751	2817
115	1769	2806
116	1786	2794
117	1801	2778
118	1818	2765
119	1834	2751
120	1850	2737
121	1868	2725
122	1883	2710
123	1896	2691
124	1909	2673
125	1923	2656
126	1937	2638
127	1949	2620
128	1963	2602
129	1975	2583
130	1988	2565
131	2002	2548
132	2015	2530
133	2027	2511
134	2039	2493
135	2055	2479
136	2069	2462
137	2083	2445
138	2097	2429
139	2110	2412
140	2124	2395
141	2137	2378
142	2150	2360
143	2163	2343
144	2176	2326
145	2189	2309
146	2202	2292
147	2216	2276
148	2229	2259
149	2242	2242
150	2254	2224
151	2267	2208
152	2280	2190
153	2292	2173
154	2305	2156
155	2318	2139
156	2333	2125
157	2349	2111
158	2363	2096
159	2376	2079
160	2389	2062
161	2401	2046
162	2420	2034
163	2434	2018
164	2447	2002
165	2461	1987
166	2474	1970
167	2487	1954
168	2500	1938
169	2513	1921
170	2526	1905
171	2539	1889
172	2552	1873
173	2565	1858
174	2577	1841
175	2591	1825
176	2603	1809
177	2616	1793
178	2629	1777
179	2642	1761
180	2655	1745
181	2668	1730
182	2680	1713
183	2693	1697
184	2705	1681
185	2718	1665
186	2731	1650
187	2744	1635
188	2758	1619
189	2771	1604
190	2784	1588
191	2798	1574
192	2811	1558
193	2824	1543
194	2838	1528
195	2850	1512
196	2865	1498
197	2881	1484
198	2897	1470
199	2913	1456
200	2926	1441
201	2940	1426
202	2953	1411
203	2967	1396
204	2981	1381
205	2995	1366
206	3009	1352
207	3023	1337
208	3038	1322
209	3051	1307
210	3064	1292
211	3079	1278
212	3092	1263
213	3108	1249
214	3123	1234
215	3138	1220
216	3152	1205
217	3164	1190
218	3178	1175
219	3191	1160
220	3204	1145
221	3218	1130
222	3232	1116
223	3245	1101
224	3258	1086
225	3271	1071
226	3284	1056
227	3297	1041
228	3310	1026
229	3322	1011
230	3336	996
231	3348	981
232	3361	966
233	3374	951
234	3388	937
235	3403	922
236	3415	907
237	3427	892
238	3440	878
239	3453	863
240	3466	848
241	3479	833
242	3491	818
243	3505	804
244	3518	789
245	3531	775
246	3544	760
247	3557	745
248	3569	731
249	3582	716
250	3594	701
251	3606	687
252	3619	672
253	3633	657
254	3646	643
255	3658	628
256	3672	614
257	3685	600
258	3699	585
259	3712	571
260	3728	557
261	3743	543
262	3758	528
263	3774	514
264	3790	500
265	3804	486
266	3817	471
267	3829	457
268	3842	442
269	3855	428
270	3868	414
271	3881	399
272	3895	385
273	3908	370
274	3922	356
275	3935	342
276	3949	327
277	3961	313
278	3974	299
279	3987	284
280	4000	270
281	4013	256
282	4028	241
283	4042	227
284	4055	213
285	4068	199
286	4081	184
287	4094	170
288	4107	156
289	4120	142
290	4132	127
291	4146	113
292	4159	99
293	4172	85
294	4185	70
295	4197	56
296	4209	42
297	4221	28
298	4235	14
299	4248	0
